title,media_type,collection,wikipedia_link
The Mr. Men Show,TV Series,Roger Hargreaves,https://en.wikipedia.org/wiki/The_Mr._Men_Show
Squid Game,TV Series,,https://en.wikipedia.org/wiki/Squid_Game
Guardian: The Lonely and Great God,TV Series,,https://en.wikipedia.org/wiki/Guardian:_The_Lonely_and_Great_God
Sky Castle,TV Series,,https://en.wikipedia.org/wiki/Sky_Castle
Crash Landing on You,TV Series,,https://en.wikipedia.org/wiki/Crash_Landing_on_You
Road Wars,TV Series,,https://en.wikipedia.org/wiki/Road_Wars_(TV_series)
MythBusters,TV Series,,https://en.wikipedia.org/wiki/MythBusters
How It's Made,TV Series,,https://en.wikipedia.org/wiki/How_It%27s_Made
How Stuff Works,TV Series,,https://en.wikipedia.org/wiki/HowStuffWorks
Snackmasters,TV Series,,https://en.wikipedia.org/wiki/Snackmasters
Last Week Tonight with John Oliver,TV Series,,https://en.wikipedia.org/wiki/Last_Week_Tonight_with_John_Oliver
Can't Get You Out of My Head,TV Series,Adam Curtis,https://en.wikipedia.org/wiki/Can%27t_Get_You_Out_of_My_Head_(TV_series)
Russia 1985-1999: TraumaZone,TV Series,Adam Curtis,https://en.wikipedia.org/wiki/Russia_1985%E2%80%931999:_TraumaZone
Patriot Act with Hasan Minhaj,TV Series,Hasan Minhaj,https://en.wikipedia.org/wiki/Patriot_Act_with_Hasan_Minhaj
Louis Theroux's Weird Weekends,TV Series,Louis Theroux,https://en.wikipedia.org/wiki/Louis_Theroux%27s_Weird_Weekends
Louis Theroux's BBC Two specials,TV Series,Louis Theroux,https://en.wikipedia.org/wiki/Louis_Theroux%27s_BBC_Two_specials
Life on Earth,TV Series,David Attenborough,https://en.wikipedia.org/wiki/Life_on_Earth_(TV_series)
Planet Earth,TV Series,David Attenborough,https://en.wikipedia.org/wiki/Planet_Earth_(franchise)
Our Planet,TV Series,David Attenborough,https://en.wikipedia.org/wiki/Our_Planet
The Blue Planet,TV Series,David Attenborough,https://en.wikipedia.org/wiki/The_Blue_Planet
Frozen Planet,TV Series,David Attenborough,https://en.wikipedia.org/wiki/Frozen_Planet
Human Planet,TV Series,David Attenborough,https://en.wikipedia.org/wiki/Human_Planet
Cosmos: Possible Worlds,TV Series,Cosmos,https://en.wikipedia.org/wiki/Cosmos:_Possible_Worlds
Cosmos: A Spacetime Odyssey,TV Series,Cosmos,https://en.wikipedia.org/wiki/Cosmos:_A_Spacetime_Odyssey
Cosmos: A Personal Voyage,TV Series,Cosmos,https://en.wikipedia.org/wiki/Cosmos:_A_Personal_Voyage
Ways of Seeing,TV Series,John Berger,https://en.wikipedia.org/wiki/Ways_of_Seeing
It's Always Sunny in Philadelphia,TV Series,,https://en.wikipedia.org/wiki/It%27s_Always_Sunny_in_Philadelphia
The Office,TV Series,,https://en.wikipedia.org/wiki/The_Office_(American_TV_series)
Late Night with Conan O'Brien,TV Series,Conan O'Brien,https://en.wikipedia.org/wiki/Late_Night_with_Conan_O%27Brien
The Tonight Show with Conan O'Brien,TV Series,Conan O'Brien,https://en.wikipedia.org/wiki/The_Tonight_Show_with_Conan_O%27Brien
Conan,TV Series,Conan O'Brien,https://en.wikipedia.org/wiki/Conan_(talk_show)
Seinfeld,TV Series,Larry David,https://en.wikipedia.org/wiki/Seinfeld
King of the Hill,TV Series,,https://en.wikipedia.org/wiki/King_of_the_Hill
Beavis and Butt-Head,TV Series,,https://en.wikipedia.org/wiki/Beavis_and_Butt-Head
Friends,TV Series,,https://en.wikipedia.org/wiki/Friends
